,params,mean_train_score,mean_test_score,std_train_score,std_test_score,split0_train_score,split0_test_score,split1_train_score,split1_test_score,split2_train_score,split2_test_score,split3_train_score,split3_test_score,split4_train_score,split4_test_score
0,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [64, 64, 64, 64], 'epochs': 100, 'dropout': 0.0, 'dense_layer_size': 64, 'batch_size': 256}",0.9941658360303377,0.7792919006026575,0.01090065402261368,0.0168041486361249,0.9994736842105263,0.7849573027591603,0.9723681544286247,0.7558942605382234,0.9994934143870314,0.8042757819573275,1.0,0.7661302721262748,0.999493927125506,0.7852018856323016
1,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [64, 64], 'epochs': 100, 'dropout': 0.25, 'dense_layer_size': 64, 'batch_size': 256}",0.8832296656622945,0.7850331347151258,0.01092590904911725,0.015304107892443757,0.900551911694129,0.7935137617800156,0.8733610622300433,0.802070220800871,0.8700583931807504,0.7813252703325988,0.8838976089798294,0.7574352141307505,0.8882793522267206,0.790821206531393
2,"{'task_type': 'classification', 'learning_rate': 0.01, 'graph_conv_layers': [64, 64], 'epochs': 100, 'dropout': 0.0, 'dense_layer_size': 256, 'batch_size': 256}",0.9996881565616167,0.8014405888600231,0.0002547210055932301,0.012922079970328293,0.9994736842105263,0.7809852686013676,1.0,0.8187238458136291,0.9994934143870314,0.8102632433078802,1.0,0.7951536582449308,0.9994736842105263,0.8020769283323085
3,"{'task_type': 'classification', 'learning_rate': 0.01, 'graph_conv_layers': [32, 32, 32, 32], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 512, 'batch_size': 256}",0.5512917098644788,0.5420973429663954,0.04084576145268154,0.03772793661038503,0.5238681810910254,0.5195199537304801,0.6296773849517412,0.6164648045452998,0.5184016824395373,0.5149387587762004,0.5322440943623573,0.5340115136917268,0.5522672064777329,0.5255516840882695
4,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [128, 128, 128, 128], 'epochs': 100, 'dropout': 0.25, 'dense_layer_size': 256, 'batch_size': 256}",0.9117862974747787,0.7636659035433835,0.015245542873506018,0.022509435768903834,0.9105391137418014,0.7850338515973191,0.9254732576121154,0.7831626577756609,0.8855579952633447,0.7260117186832709,0.92843399525056,0.7503630058593416,0.9089271255060728,0.7737582838013255
5,"{'task_type': 'classification', 'learning_rate': 0.01, 'graph_conv_layers': [128, 128, 128, 128], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 64, 'batch_size': 256}",0.6430981282580648,0.6176800270014071,0.09648707289655842,0.062458644127537155,0.5824630725750547,0.5669462116830537,0.5120231429637924,0.5376790392270268,0.7278836227423381,0.6775226771895658,0.6166025843856572,0.6060233348707699,0.7765182186234817,0.7002288720366195
6,"{'task_type': 'classification', 'learning_rate': 0.0001, 'graph_conv_layers': [128, 128, 128], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 1024, 'batch_size': 256}",0.5162412442998848,0.5117797833416402,0.007709054844440534,0.012947855954430557,0.5157174852023677,0.5155819412785357,0.5136516823974832,0.502976899261729,0.5184064766251489,0.5011701600642307,0.5286532493392014,0.5355831155298177,0.5047773279352227,0.5035868005738882
7,"{'task_type': 'classification', 'learning_rate': 0.0001, 'graph_conv_layers': [64, 64, 64, 64], 'epochs': 100, 'dropout': 0.0, 'dense_layer_size': 1024, 'batch_size': 256}",0.9996881565616167,0.786250746953607,0.0002547210055932301,0.01989942243788127,0.9994736842105263,0.778654781750757,1.0,0.7921018609873098,0.9994934143870314,0.7564358803532687,1.0,0.7862023608192829,0.9994736842105263,0.8178588508574162
8,"{'task_type': 'classification', 'learning_rate': 0.0001, 'graph_conv_layers': [32, 32, 32], 'epochs': 100, 'dropout': 0.25, 'dense_layer_size': 64, 'batch_size': 256}",0.6757343575913561,0.6639253940648897,0.02457396441804743,0.02547118341601222,0.7019986135551645,0.672966352532916,0.6795302084999734,0.6781291463954002,0.6290818495328865,0.6134030304583269,0.6847615212270558,0.6733288918498779,0.6832995951417005,0.6817995490879278
9,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [64, 64, 64], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 256, 'batch_size': 256}",0.5797308628306116,0.5550545892923093,0.04778157033829746,0.033050176586098885,0.5234287847277769,0.5202769366856055,0.6152860875593238,0.5924965127751506,0.5219989197101755,0.519217957259263,0.6358352589978873,0.5941765318847264,0.6021052631578947,0.5491050078568013
