,params,mean_train_score,mean_test_score,std_train_score,std_test_score,split0_train_score,split0_test_score,split1_train_score,split1_test_score,split2_train_score,split2_test_score,split3_train_score,split3_test_score,split4_train_score,split4_test_score
0,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [64, 64, 64, 64], 'epochs': 100, 'dropout': 0.0, 'dense_layer_size': 64, 'batch_size': 256}",0.983541921402266,0.783271485384072,0.025493512418776565,0.02282571208286609,0.9952661874251186,0.8019385072975029,0.9911015130029792,0.7909569203521384,0.9329106335185018,0.738292441527322,0.9994725738396624,0.7932749908839922,0.9989586992250684,0.7918945668594051
1,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [64, 64], 'epochs': 100, 'dropout': 0.25, 'dense_layer_size': 64, 'batch_size': 256}",0.887515736523366,0.7724583844641024,0.010700977350615225,0.014120455751797933,0.9006615617023493,0.7900670955246594,0.893109743669802,0.786737511069438,0.8942063347513671,0.7706412460280251,0.8752076096807906,0.7611345522737928,0.8743934328125204,0.7537115174245976
2,"{'task_type': 'classification', 'learning_rate': 0.01, 'graph_conv_layers': [64, 64], 'epochs': 100, 'dropout': 0.0, 'dense_layer_size': 256, 'batch_size': 256}",0.9993725092258924,0.8071742767184421,0.00020697155808051365,0.010673302257820495,0.9994725738396624,0.8233381752784119,0.9994725738396624,0.7933270823566182,0.9994725738396624,0.7979111319477002,0.999486125385406,0.812470698546648,0.9989586992250684,0.8088242954628327
3,"{'task_type': 'classification', 'learning_rate': 0.01, 'graph_conv_layers': [32, 32, 32, 32], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 512, 'batch_size': 256}",0.542306770751104,0.5338053802805596,0.05722158101318591,0.054074686902594066,0.5560894931499714,0.5446064190357612,0.6486685877337913,0.6343178621659634,0.4972821019856809,0.4837735062770224,0.5015822784810127,0.5,0.5079113924050633,0.5063291139240507
4,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [128, 128, 128, 128], 'epochs': 100, 'dropout': 0.25, 'dense_layer_size': 256, 'batch_size': 256}",0.9115815859802948,0.7729852555513712,0.026045841340488013,0.01101313809582653,0.8655128405480023,0.7554039565608356,0.9022657100359496,0.7873626087409491,0.9389280618904514,0.7767619940615722,0.9301786418966091,0.7788716987029223,0.9210226755304616,0.7665260196905765
5,"{'task_type': 'classification', 'learning_rate': 0.01, 'graph_conv_layers': [128, 128, 128, 128], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 64, 'batch_size': 256}",0.6726274047401954,0.6277965221683374,0.06772860348496904,0.051998559823810915,0.5875983226545813,0.5479006709552465,0.7574934627343333,0.6828931603896442,0.6659110324760082,0.6423399489503568,0.7410088204300935,0.6767203208834713,0.611125385405961,0.5891285096629681
6,"{'task_type': 'classification', 'learning_rate': 0.0001, 'graph_conv_layers': [128, 128, 128], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 1024, 'batch_size': 256}",0.5123933590385745,0.5105236730124327,0.011399043618314297,0.013168144076057865,0.5247043808928479,0.49010859791104655,0.5072067120264006,0.5263843308850341,0.527164344473788,0.5209147262593113,0.5040286035186318,0.501536698442465,0.49886275428120436,0.5136740115643069
7,"{'task_type': 'classification', 'learning_rate': 0.0001, 'graph_conv_layers': [64, 64, 64, 64], 'epochs': 100, 'dropout': 0.0, 'dense_layer_size': 1024, 'batch_size': 256}",0.9993751137995236,0.7928699583353616,0.00021504554929977044,0.005997431713775599,0.999485596707819,0.7938023102995089,0.999486125385406,0.7979632234203261,0.9994725738396624,0.7829348335677451,0.999486125385406,0.799656196280669,0.998945147679325,0.7899932281085587
8,"{'task_type': 'classification', 'learning_rate': 0.0001, 'graph_conv_layers': [32, 32, 32], 'epochs': 100, 'dropout': 0.25, 'dense_layer_size': 64, 'batch_size': 256}",0.6388712712102101,0.6312935678986726,0.03964963515186635,0.04968954813765465,0.6319411887274053,0.6766272393995988,0.6595027775248155,0.6389540032296712,0.6361063048295541,0.5805073709433766,0.5729078581619335,0.5683440120852217,0.6938982268073426,0.692035213835495
9,"{'task_type': 'classification', 'learning_rate': 0.001, 'graph_conv_layers': [64, 64, 64], 'epochs': 100, 'dropout': 0.5, 'dense_layer_size': 256, 'batch_size': 256}",0.6315372148065487,0.5951419151045629,0.06607812516522928,0.05630833518137298,0.585723029640048,0.5375942450024209,0.7150993490921549,0.6487472000833463,0.5759667130671593,0.5753763608897224,0.5715169275068192,0.5399281137677762,0.7093800547265624,0.6740636557795489
