NSC #,LC:A549/ATCC,smiles
103704,5.5280000000000005,O=C(O)C1OC(n2cc(F)c(=O)[nH]c2=O)CC1O
103752,4.01,NC(=S)N/N=C/C(=O)O
103755,4.8,COC1=C2C=[N+](C)C3C(=C2C=CC1OC)Cc1cc2c(cc13)OCO2.O=[N+](O)O
103779,4.0,CN(C)c1ccc2nc3c(C(=O)O)cc(O)c(O)c3[o+]c2c1.[Cl-]
103832,4.67,Oc1cccc(/C=N/N=c2/[nH][nH]/c(=N/N=C/c3cccc(O)c3)c3ccccc23)c1
103870,4.0,O=C(c1ccccc1)C1C(C(=O)c2ccccc2)C(c2ccccc2)N(c2ccccc2)C1c1ccccc1
104129,6.48,CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccc(Cl)cc2Cl)cc1.Cl
104133,5.51,Nc1nc(N)c(-c2ccc(Cl)cc2)c(/C=C/c2ccc([N+](=O)[O-])cc2)n1
10438,5.365,O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1
10460,5.4275,Cl.N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1
10466,5.57,Cc1cc(C(=C2C=CC(=N)C=C2)c2ccc(N)cc2)ccc1N.Cl
104795,5.79,CC1(C=O)CCC23COC4(CCC5C6(C)CCC(OC7OCC(OC8OC(CO)C(O)C(OC9OC(CO)C(O)C(O)C9O)C8OC8OCC(O)C(O)C8O)C(O)C7OC7OC(CO)C(O)C(O)C7O)C(C)(C)C6CCC5(C)C4(C)CC2O)C3C1
104800,4.72,OC(CBr)C(O)C(O)C(O)CBr
104801,4.449333333333332,COc1ccc(C(=O)/C(Br)=C/C(=O)O)cc1.[Na+]
10483,4.0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
10492,5.69,CCN(CC)CCCC(CNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)cc1
104942,4.69,C=C1C(=O)OC2C1C(OC(=O)/C(C)=C\C)CC1(CO1)C1C(O)C=C(C)C21O
