model,model_dir,test_accuracy_score,test_prc_auc_score,test_precision_score,test_recall_score,test_roc_auc_score,train_accuracy_score,train_prc_auc_score,train_precision_score,train_recall_score,train_roc_auc_score,batch_size,batchnorm,char_dict,dense_layer_size,dropout,dropouts,epochs,fully_connected_layer_sizes,graph_attention_layers,graph_conv_layers,graph_feat_size,hidden_dropout,hlayers_sizes,input_dim,kernel_sizes,l2,learning_rate,n_attention_heads,n_embedding,n_graph_feat,n_hidden,n_weave,num_filters,num_layers,num_timesteps,predictor_dropout,predictor_hidden_feats,seq_length,task_type
ECFP4,../pacbb21_analysis/results/2021-05-09_16-06-42,0.8314065510597303,0.8700323850661598,0.826171875,0.8310412573673871,0.8313996456969259,0.9995871180842281,0.9995794785534062,0.9991589571068124,1.0,0.9995948136142624,256,True,,,,,100,,,,,0.0,"[512, 256, 128, 64]",1024.0,,0.0,0.001,,,,,,,,,,,,classification
ECFP6,../pacbb21_analysis/results/2021-05-09_16-17-50,0.7957610789980732,0.8433266355650817,0.7987927565392354,0.7799607072691552,0.7954623952224793,0.999587118084228,0.9997855655370106,1.0,0.9991582491582492,0.9995791245791246,256,True,,,,,100,,,,,0.5,"[256, 128, 64, 32]",1024.0,,0.0001,0.01,,,,,,,,,,,,classification
Mol2vec,../pacbb21_analysis/results/2021-05-09_16-45-53,0.6416184971098265,0.7165234625533015,0.7133956386292835,0.44990176817288796,0.6379943623473137,0.6230388109000826,0.6966705655132808,0.6806833114323259,0.436026936026936,0.6195531762792702,256,True,,,,,100,,,,,0.0,"[256, 128, 64, 32]",300.0,,0.0,0.001,,,,,,,,,,,,classification
GraphConv,../pacbb21_analysis/results/2021-05-09_16-00-28,0.7986512524084779,0.8455339123394563,0.8012048192771084,0.7838899803536346,0.79837221134884,0.999587118084228,0.9995794785534062,0.9991589571068124,1.0,0.9995948136142624,256,,,2048.0,0.0,,100,,,"[32, 32, 32]",,,,,,,0.0001,,,,,,,,,,,,classification
TextCNN,../pacbb21_analysis/results/2021-05-09_19-44-05,0.8082851637764933,0.8514121736711537,0.7849264705882353,0.8388998035363457,0.8088638904260178,0.9995871180842281,0.9995794785534062,0.9991589571068124,1.0,0.9995948136142624,256,,"{'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}",,0.0,,100,,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20]",,0.001,,75.0,,,,"[100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160]",,,,,484.0,classification
Weave,../pacbb21_analysis/results/2021-05-09_19-40-05,0.5096339113680154,0.7451830443159924,0.0,0.0,0.5,0.509496284062758,0.7452518579686209,0.0,0.0,0.5,256,,,,,0.0,100,[1024],,,,,,,,,0.0001,,,128.0,32.0,2.0,,,,,,,classification
MACCS,../pacbb21_analysis/results/2021-05-10_09-58-30,0.8063583815028902,0.8509181218849555,0.8019607843137255,0.8035363457760314,0.8063050348917964,0.9620148637489678,0.9694262412369684,0.9551495016611296,0.9680134680134681,0.962126669176912,256,True,,,,,100,,,,,0.25,"[64, 32, 16, 8]",167.0,,0.0,0.001,,,,,,,,,,,,classification
RDKitFP,../pacbb21_analysis/results/2021-05-10_10-17-21,0.8063583815028902,0.8499435601083817,0.7789855072463768,0.8447937131630648,0.8070849473187726,0.9781172584640792,0.9816173580894276,0.970954356846473,0.9848484848484848,0.978242718923432,256,False,,,,,100,,,,,0.5,"[512, 256]",1024.0,,0.0001,0.0001,,,,,,,,,,,,classification
GCN,../pacbb21_paper/results/2021-05-19_13-15-23,0.8053949903660886,0.8499681013471231,0.7980582524271844,0.8074656188605108,0.8054341326816732,0.9702725020644096,0.9776776650804702,0.9720812182741116,0.9671717171717172,0.9702147078565232,256,,,,0.0,,100,,,"[128, 128]",,,,,,,0.0001,,,,,,,,,0.0,128.0,,classification
GAT,../pacbb21_paper/results/2021-05-19_13-17-18,0.7427745664739884,0.8210906756590166,0.8644578313253012,0.5638506876227898,0.7393922625259507,0.7791081750619323,0.8593337982559841,0.9223803363518758,0.6001683501683501,0.7757729919399287,256,,,,0.0,,100,,"[32, 32]",,,,,,,,0.01,4.0,,,,,,,,0.25,256.0,,classification
AtomPair,../pacbb21_paper/results/2021-05-20_15-17-26,0.8227360308285164,0.8647450319593301,0.8296146044624746,0.8035363457760314,0.8223730878218533,0.9987613542526838,0.9991499010824458,0.9991575400168492,0.9983164983164984,0.9987530627725116,256,False,,,,,100,,,,,0.5,"[512, 256]",1024.0,,0.0001,0.0001,,,,,,,,,,,,classification
