,params,mean_train_score,mean_test_score,std_train_score,std_test_score,split0_train_score,split0_test_score,split1_train_score,split1_test_score,split2_train_score,split2_test_score,split3_train_score,split3_test_score,split4_train_score,split4_test_score
0,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 32, 'learning_rate': 0.01, 'kernel_sizes': [1, 2, 3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9978172281008494,0.7785294748069413,0.0012610375336486047,0.012391478899613688,0.995793613585456,0.8018779829840215,0.9969167523124357,0.7800698025733188,0.998431273064731,0.7724904933062458,0.9989722507708119,0.7708496119185289,0.9989722507708119,0.7673594832525915
1,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 32, 'learning_rate': 0.0001, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9421788869888618,0.7757295795022617,0.007869877045085929,0.011145498902560702,0.9465932176902642,0.7754807359756519,0.9440814437057949,0.7776475490962129,0.9498413927086179,0.7871021513778194,0.9271224973005321,0.7834036568213784,0.9432558835391001,0.7550138042402459
2,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [128, 128, 128, 128, 64, 64, 64, 64, 32, 32, 32, 32], 'n_embedding': 32, 'learning_rate': 0.0001, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9929397798484807,0.7928224782390009,0.001089664305434236,0.015441394831300803,0.9932736885971766,0.8050771252680362,0.9942389668735176,0.7743918320570923,0.9937521953504104,0.8145804031879982,0.9912234769146707,0.7776996405688389,0.9922105715066284,0.7923633901130386
3,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [128, 128, 128, 128, 64, 64, 64, 64, 32, 32, 32, 32], 'n_embedding': 75, 'learning_rate': 0.01, 'kernel_sizes': [1, 2, 3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9987611745711595,0.7767600513058307,0.0005245848634148471,0.016608015308319967,0.9989581705474814,0.7871705748080514,0.999486125385406,0.8036672396728656,0.9989722507708119,0.771630984007918,0.9979445015416238,0.761759649945304,0.9984448246104743,0.7595718080950149
4,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 64, 'learning_rate': 0.01, 'kernel_sizes': [3, 4, 5, 7, 10], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.99875543674631,0.7832450340174395,0.0007779135915046934,0.01842513890069962,0.9974149606709382,0.7560178460261464,0.9989722507708119,0.7832473824035004,0.999486125385406,0.8140594884617388,0.999486125385406,0.7811897692347762,0.9984177215189873,0.7817106839610356
5,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [128, 128, 128, 128, 64, 64, 64, 64, 32, 32, 32, 32], 'n_embedding': 64, 'learning_rate': 0.01, 'kernel_sizes': [3, 4, 5, 7, 10], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9975219262002494,0.7785652343219612,0.0008858556341365652,0.011503313216963311,0.9969135802469136,0.7668689908003044,0.9989586992250684,0.7756420274001147,0.9979309499958804,0.7958535187789759,0.9963757746063548,0.7668906599989581,0.9974306269270299,0.7875709746314529
6,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'n_embedding': 64, 'learning_rate': 0.001, 'kernel_sizes': [3, 4, 5], 'epochs': 100, 'dropout': 0.0, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9792714498952041,0.7817465929188048,0.03965333982065596,0.0197472364977467,0.9989581705474814,0.817130109981324,0.8999684520015092,0.7566025941553367,0.999486125385406,0.7816065010157838,0.999486125385406,0.7793926134291816,0.9984583761562179,0.7740011460123979
7,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'n_embedding': 32, 'learning_rate': 0.01, 'kernel_sizes': [3, 4, 5, 7, 10], 'epochs': 100, 'dropout': 0.0, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9993751137995236,0.7746329259097007,0.00020829213230073791,0.013824498019925179,0.999485596707819,0.7788009268866293,0.9994725738396624,0.7913736521331458,0.9994725738396624,0.7855133614627287,0.999486125385406,0.7545970724592383,0.9989586992250684,0.7628796166067615
8,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'n_embedding': 75, 'learning_rate': 0.001, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9989558831804024,0.7862327575090712,0.0004656345229554368,0.010725923184170618,0.999485596707819,0.7947101750017292,0.998945147679325,0.7729332708235662,0.9994725738396624,0.7998124706985468,0.998431273064731,0.7890555816012919,0.9984448246104743,0.7746522894202219
9,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 32, 'learning_rate': 0.001, 'kernel_sizes': [3, 4, 5, 7], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'g': 34, 'i': 35, 'u': 36, 'e': 37, 't': 38, 'G': 39, 'R': 40, '9': 41, 'A': 42, '%': 43, '0': 44, 'a': 45, 'Z': 46, 'B': 47, 'h': 48, 'p': 49, 'b': 50}, 'batch_size': 256}",0.9984524268603334,0.7772420682193342,0.0007294147752048586,0.013184745836229438,0.9974279835390947,0.8006761430448918,0.9989722507708119,0.7626712507162576,0.9984448246104743,0.7693650049486899,0.999486125385406,0.7815023180705318,0.9979309499958804,0.7719956243162994
