,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_task_type,param_learning_rate,param_l2,param_input_dim,param_hlayers_sizes,param_hidden_dropout,param_epochs,param_batchnorm,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,5.222890615463257,3.61780138084803,0.36916208267211914,0.5287811900094792,regression,0.001,0.0,1024,"[512, 256, 128, 64]",0.0,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128, 64]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-0.9837888576654034,-1.5397401374582587,-1.0933492764764974,-1.0218410216906666,-1.1987084172038096,-1.1674855420989272,0.20000066788549284,14
1,1.7195158004760742,0.20350195975373211,0.5029756546020507,0.9026866272139934,regression,0.0001,0.0001,1024,"[128, 64, 32]",0.0,100,False,256,"{'task_type': 'regression', 'learning_rate': 0.0001, 'l2': 0.0001, 'input_dim': 1024, 'hlayers_sizes': '[128, 64, 32]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",-0.8074742143071257,-0.9339493597096873,-0.9070442142596573,-0.6888044443158895,-0.6735223800961629,-0.8021589225377046,0.10751231916429858,7
2,2.8630894660949706,0.13663647024265937,0.08528847694396972,0.0037642988382380954,regression,0.0001,0.0,1024,"[512, 256, 128]",0.0,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.0001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-2.222335040204558,-4.220099520421769,-3.448329451794567,-2.8170894689391495,-3.52779903697153,-3.2471305036663147,0.6783900918148347,24
3,1.9152751445770264,0.053902871978491466,0.05543222427368164,0.0036361581029407276,regression,0.01,0.001,1024,"[512, 256, 128]",0.25,100,False,256,"{'task_type': 'regression', 'learning_rate': 0.01, 'l2': 0.001, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128]', 'hidden_dropout': 0.25, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",-3.8526753706825456,-6.878230887189457,-3.6090561585734244,-2.78674223685228,-4.042014017252434,-4.233743734110028,1.3899160827064132,26
4,3.0678441524505615,0.1646499762511034,0.08749017715454102,0.006868778262253132,regression,0.01,0.001,1024,"[128, 64, 32]",0.25,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.01, 'l2': 0.001, 'input_dim': 1024, 'hlayers_sizes': '[128, 64, 32]', 'hidden_dropout': 0.25, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-2.0157660387463556,-1.503941156285089,-1.232443876323769,-0.7552067863571748,-1.7797793266678,-1.4574274368760378,0.4385311176685178,19
5,1.4676329135894775,0.01833015219115841,0.050104808807373044,0.004419317095239236,regression,0.01,0.0,1024,"[256, 128]",0.0,100,False,256,"{'task_type': 'regression', 'learning_rate': 0.01, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[256, 128]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",-0.8865629670611775,-1.1314549009890567,-0.8686897793241972,-0.7700346506118503,-0.849489096659534,-0.9012462789291632,0.1217923087118623,10
6,3.596037483215332,0.22205759719494383,0.10362868309020996,0.0030728363087298874,regression,0.001,0.0,1024,"[256, 128, 64, 32]",0.25,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[256, 128, 64, 32]', 'hidden_dropout': 0.25, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-0.7455771769052507,-0.8944710445250826,-0.9505674172082886,-0.7536251607716415,-0.769461720100531,-0.8227405039021589,0.08373139042926643,8
7,3.8147568225860597,0.17046525055917838,0.1069981575012207,0.0050991673673446,regression,0.01,0.0001,1024,"[256, 128, 64, 32]",0.5,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.01, 'l2': 0.0001, 'input_dim': 1024, 'hlayers_sizes': '[256, 128, 64, 32]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-0.8292668124335933,-1.1433997294534073,-0.8305867975386637,-0.6898353111753343,-0.7611742514996948,-0.8508525804201387,0.15519616323600186,9
8,1.6447383403778075,0.03767975369585589,0.04826664924621582,0.0037249869215458544,regression,0.0001,0.0001,1024,"[512, 256]",0.5,100,False,256,"{'task_type': 'regression', 'learning_rate': 0.0001, 'l2': 0.0001, 'input_dim': 1024, 'hlayers_sizes': '[512, 256]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",-1.39960812562558,-1.7882950324803688,-1.8335566771359286,-1.360111625997359,-1.8513785443343667,-1.6465900011147205,0.21910961070697046,21
9,1.9845695972442627,0.13231516773335475,0.058974695205688474,0.0024990136150926374,regression,0.001,0.0,1024,"[512, 256, 128, 64]",0.5,100,False,256,"{'task_type': 'regression', 'learning_rate': 0.001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128, 64]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",-1.0960394592903469,-1.3094217495658782,-1.4012469595061663,-1.1454970064428145,-1.5019121646085665,-1.2908234678827546,0.15241933726876905,16
10,3.0120697021484375,0.06200282963788917,0.09016990661621094,0.006869000357182414,regression,0.0001,0.01,1024,"[256, 128, 64]",0.5,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.0001, 'l2': 0.01, 'input_dim': 1024, 'hlayers_sizes': '[256, 128, 64]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-19.466646443234517,-23.28859822423065,-16.98405789240196,-23.447683573451936,-19.056311980481208,-20.448659622760054,2.528471590058624,30
11,3.1088632583618163,0.11204076790371598,0.09683732986450196,0.010174285675958357,regression,0.01,0.01,1024,"[512, 256, 128]",0.5,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.01, 'l2': 0.01, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-2.4240113954342437,-1.264988239003722,-2.0016872686314984,-1.9205962647369037,-1.0487144275596205,-1.7319995190731976,0.5044122726021533,22
12,3.105874443054199,0.20891807854612882,0.09098987579345703,0.010654457237740701,regression,0.0001,0.0001,1024,"[512, 256, 128]",0.5,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.0001, 'l2': 0.0001, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-11.743134332996872,-16.195718691310812,-13.76385658774936,-14.77724309585216,-12.613613785980261,-13.818713298777894,1.570492670832461,29
13,3.0144744396209715,0.1947658383414121,0.08828730583190918,0.0033653048944313245,regression,0.0001,0.0,1024,"[512, 256, 128]",0.25,100,True,256,"{'task_type': 'regression', 'learning_rate': 0.0001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128]', 'hidden_dropout': 0.25, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",-5.185240690679975,-7.454824519765931,-7.2220254300054725,-8.316790391361284,-7.518901504373816,-7.139556507237296,1.0445408176394608,27
