,params,mean_train_score,mean_test_score,std_train_score,std_test_score,split0_train_score,split0_test_score,split1_train_score,split1_test_score,split2_train_score,split2_test_score,split3_train_score,split3_test_score,split4_train_score,split4_test_score
0,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 128, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [2048], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 32, 'n_graph_feat': 128, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 32, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 128, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 128, 'n_graph_feat': 256, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 64, 'n_graph_feat': 128, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 128, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [2048], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 128, 'n_graph_feat': 256, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 128, 'n_graph_feat': 256, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 32, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [256], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 128, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 32, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 32, 'n_graph_feat': 256, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [2048], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 64, 'n_graph_feat': 256, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [2048], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 32, 'n_graph_feat': 256, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25,"{'task_type': 'classification', 'n_weave': 2, 'n_hidden': 32, 'n_graph_feat': 128, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
26,"{'task_type': 'classification', 'n_weave': 4, 'n_hidden': 32, 'n_graph_feat': 256, 'learning_rate': 0.001, 'fully_connected_layer_sizes': [1024], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
27,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.0, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
28,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 128, 'n_graph_feat': 256, 'learning_rate': 0.0001, 'fully_connected_layer_sizes': [2048], 'epochs': 100, 'dropouts': 0.5, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
29,"{'task_type': 'classification', 'n_weave': 3, 'n_hidden': 128, 'n_graph_feat': 128, 'learning_rate': 0.01, 'fully_connected_layer_sizes': [512], 'epochs': 100, 'dropouts': 0.25, 'batch_size': 256}",0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
