,params,mean_train_score,mean_test_score,std_train_score,std_test_score,split0_train_score,split0_test_score,split1_train_score,split1_test_score,split2_train_score,split2_test_score,split3_train_score,split3_test_score,split4_train_score,split4_test_score
0,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 32, 'learning_rate': 0.01, 'kernel_sizes': [1, 2, 3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.997697368734842,0.7935095040774944,0.0012697103540305348,0.011599443866982466,0.9989473684210526,0.789958493518865,0.9994934143870314,0.7987871261865069,0.9968646026099547,0.787287107740139,0.9968454258675079,0.7786774628879891,0.996336032388664,0.8128373300539729
1,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 32, 'learning_rate': 0.0001, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.9462512128027969,0.7919799355195366,0.008965733913225119,0.013821177097991029,0.9595787340692157,0.7954615044398325,0.9534799765370874,0.7737301398292109,0.9424649784741066,0.7876543842566494,0.9349429012493647,0.7872273185397769,0.9407894736842105,0.8158263305322129
2,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [128, 128, 128, 128, 64, 64, 64, 64, 32, 32, 32, 32], 'n_embedding': 32, 'learning_rate': 0.0001, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.9864429220629883,0.8014913073561205,0.0038446840171778448,0.006853038208892868,0.9856183010718286,0.8043241588133229,0.9912499333439985,0.7896948252985404,0.9897532272859476,0.8063854865986778,0.9802895048884713,0.7982626966637626,0.9853036437246963,0.8087893694062992
3,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [128, 128, 128, 128, 64, 64, 64, 64, 32, 32, 32, 32], 'n_embedding': 75, 'learning_rate': 0.01, 'kernel_sizes': [1, 2, 3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.9952065269556872,0.7687805173204673,0.007041997939626821,0.034408377609968295,0.9973881512291368,0.7560048310822304,0.9812563323201622,0.7171690538563604,0.9994934143870314,0.7780454056270178,1.0,0.7690684842583577,0.9978947368421053,0.8236148117783697
4,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 64, 'learning_rate': 0.01, 'kernel_sizes': [3, 4, 5, 7, 10], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.997744135167929,0.7796890713692234,0.0007604992477196798,0.011647878528186297,0.998440782808084,0.7835454019664545,0.998460512984589,0.790460313680128,0.997954480805679,0.7621073130733358,0.9974478951927103,0.7703496814089752,0.9964170040485829,0.7919826467172235
5,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [128, 128, 128, 128, 64, 64, 64, 64, 32, 32, 32, 32], 'n_embedding': 64, 'learning_rate': 0.01, 'kernel_sizes': [3, 4, 5, 7, 10], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.9949006622226054,0.7860510844964059,0.005265388430950245,0.022515798584235636,0.9963552498266944,0.7951553090871976,0.9989868287740628,0.79561460211615,0.9954407294832827,0.7685218401407609,0.9847528916929548,0.7534464203351612,0.9989676113360323,0.81751725080276
6,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'n_embedding': 64, 'learning_rate': 0.001, 'kernel_sizes': [3, 4, 5], 'epochs': 100, 'dropout': 0.0, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.9994780648539573,0.7907546525540555,0.0005759984497412602,0.019648909112783334,0.9994736842105263,0.7896182764603816,1.0,0.7816742081447963,0.998422712933754,0.7731170672543091,1.0,0.7807273783289772,0.999493927125506,0.8286363325818134
7,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'n_embedding': 32, 'learning_rate': 0.01, 'kernel_sizes': [3, 4, 5, 7, 10], 'epochs': 100, 'dropout': 0.0, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.9996883697961234,0.7952959862324447,0.0002545494840218525,0.005307839667562334,0.9994736842105263,0.7994335385976252,1.0,0.7900775694893342,0.9994742376445847,0.7906182203317447,1.0,0.7927877141734571,0.999493927125506,0.8035628885700621
8,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [100, 200, 200, 200, 200, 100, 100, 100, 100, 100, 160, 160], 'n_embedding': 75, 'learning_rate': 0.001, 'kernel_sizes': [3, 4, 5, 7, 10, 15], 'epochs': 100, 'dropout': 0.5, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.999481789515635,0.798927936379487,0.00033301276324045027,0.02037928798687999,0.9989473684210526,0.7895757493280714,0.9994934143870314,0.8110094240125201,0.9994742376445847,0.7664975486427851,1.0,0.8005432275918617,0.999493927125506,0.8270137323221972
9,"{'task_type': 'classification', 'seq_length': 484, 'num_filters': [32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128], 'n_embedding': 32, 'learning_rate': 0.001, 'kernel_sizes': [3, 4, 5, 7], 'epochs': 100, 'dropout': 0.25, 'char_dict': {'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 'e': 34, 'i': 35, 'g': 36, 'Z': 37, 'B': 38, 'T': 39, 'G': 40, 'u': 41, 'A': 42, '9': 43, '%': 44, '0': 45, 'b': 46, 't': 47, 'R': 48, 'h': 49, 'a': 50, 'd': 51}, 'batch_size': 256}",0.9978421540978581,0.7848538647990855,0.0008696549826958615,0.010313902852326352,0.9979736575481256,0.7690691661279896,0.998440782808084,0.7775490763106861,0.9989676520316161,0.7912759015357282,0.9973711882229233,0.7882266523172586,0.9964574898785424,0.7981485277037644
