,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_task_type,param_learning_rate,param_l2,param_input_dim,param_hlayers_sizes,param_hidden_dropout,param_epochs,param_batchnorm,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.9366724491119385,1.6390367797476701,0.13856287002563478,0.046553524343706854,classification,0.001,0.0,1024,"[512, 256, 128, 64]",0.0,100,True,256,"{'task_type': 'classification', 'learning_rate': 0.001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128, 64]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",0.876772497751954,0.8495945547047282,0.8545085169557743,0.8671146533312497,0.8530325918980397,0.8602045629283491,0.010185285429304998,5
1,2.1578853130340576,0.11361182490093777,0.06252880096435547,0.0023019428040523785,classification,0.0001,0.0001,1024,"[128, 64, 32]",0.0,100,False,256,"{'task_type': 'classification', 'learning_rate': 0.0001, 'l2': 0.0001, 'input_dim': 1024, 'hlayers_sizes': '[128, 64, 32]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",0.881389638237532,0.8264833046830233,0.815978191036794,0.8614714104634404,0.8339671129169489,0.8438579314675477,0.024065949095746976,26
2,3.450705575942993,0.025828738585996068,0.15441327095031737,0.11278152161914237,classification,0.0001,0.0,1024,"[512, 256, 128]",0.0,100,True,256,"{'task_type': 'classification', 'learning_rate': 0.0001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",0.8534101127481497,0.8481186296469936,0.8315188137035301,0.8532409577885433,0.8433088503411992,0.8459194728456833,0.00810856895072239,25
3,2.406092977523804,0.11660492890046284,0.06490135192871094,0.006118521399377081,classification,0.01,0.001,1024,"[512, 256, 128]",0.25,100,False,256,"{'task_type': 'classification', 'learning_rate': 0.01, 'l2': 0.001, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128]', 'hidden_dropout': 0.25, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",0.8687832883724148,0.858354604017989,0.8507405671024986,0.8574169575107222,0.8718115677796878,0.8614213969566624,0.007767547560555696,3
4,3.900974416732788,0.19135704541231258,0.10379395484924317,0.007796488952659731,classification,0.01,0.001,1024,"[128, 64, 32]",0.25,100,True,256,"{'task_type': 'classification', 'learning_rate': 0.01, 'l2': 0.001, 'input_dim': 1024, 'hlayers_sizes': '[128, 64, 32]', 'hidden_dropout': 0.25, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",0.8658954139863042,0.825771387890469,0.8691288569394523,0.8702401416888055,0.8504801097393688,0.8563031820488799,0.01683357549422157,10
5,1.8768342018127442,0.017763280827889617,0.05928182601928711,0.001419934493655115,classification,0.01,0.0,1024,"[256, 128]",0.0,100,False,256,"{'task_type': 'classification', 'learning_rate': 0.01, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[256, 128]', 'hidden_dropout': 0.0, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",0.8876149961956146,0.8426663888454793,0.8386813911895955,0.8524074942265283,0.8474327585907521,0.8537606058095941,0.017541132650961515,11
6,4.479641008377075,0.1342294714531158,0.12361407279968262,0.014676125117416621,classification,0.001,0.0,1024,"[256, 128, 64, 32]",0.25,100,True,256,"{'task_type': 'classification', 'learning_rate': 0.001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[256, 128, 64, 32]', 'hidden_dropout': 0.25, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",0.8759943280071938,0.8413988296782484,0.8343143894011217,0.8564359014429338,0.8519386709728951,0.8520164239004785,0.014286868411945293,13
7,4.566926527023315,0.055110377112046825,0.19382362365722655,0.15446959462811752,classification,0.01,0.0001,1024,"[256, 128, 64, 32]",0.5,100,True,256,"{'task_type': 'classification', 'learning_rate': 0.01, 'l2': 0.0001, 'input_dim': 1024, 'hlayers_sizes': '[256, 128, 64, 32]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': True, 'batch_size': 256}",0.8725012104862695,0.8525116771717803,0.8543869701863138,0.8723932558906774,0.8466861141497803,0.8596958455769641,0.010716819906392085,6
8,2.1055312633514403,0.026550091895401924,0.05899033546447754,0.0035057983092034823,classification,0.0001,0.0001,1024,"[512, 256]",0.5,100,False,256,"{'task_type': 'classification', 'learning_rate': 0.0001, 'l2': 0.0001, 'input_dim': 1024, 'hlayers_sizes': '[512, 256]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",0.8907795531576399,0.845027868937855,0.8342970255769131,0.8643017138094495,0.8514177562466357,0.8571647835456988,0.0194121399291616,8
9,2.502834701538086,0.10433482507673748,0.07798395156860352,0.004066988078423364,classification,0.001,0.0,1024,"[512, 256, 128, 64]",0.5,100,False,256,"{'task_type': 'classification', 'learning_rate': 0.001, 'l2': 0.0, 'input_dim': 1024, 'hlayers_sizes': '[512, 256, 128, 64]', 'hidden_dropout': 0.5, 'epochs': 100, 'batchnorm': False, 'batch_size': 256}",0.8861278273500727,0.8507666128388116,0.8330294664096821,0.8530065461617267,0.8623656474101855,0.8570592200340957,0.017358526624504322,9
